segment,baseline_ratio,parity_ratio
"('F', 'A')",1.041,1.853
"('F', 'B')",1.051,1.302
"('F', 'C')",0.966,0.651
"('M', 'A')",1.024,1.406
"('M', 'B')",0.94,0.931
"('M', 'C')",1.026,0.544
