segment,baseline_premium,full_parity_premium,gender_parity_premium
"('F', 'A')",271.62,479.76,295.4
"('F', 'B')",385.87,479.76,432.8
"('F', 'C')",711.58,479.76,825.31
"('M', 'A')",347.57,479.76,267.0
"('M', 'B')",488.65,479.76,448.01
"('M', 'C')",901.57,479.76,851.9
