eps,cost_mse,fairness_gap,redistribution,loss_ratio,loss_ratio_gap,multiplier_0,multiplier_1,multiplier_2,multiplier_3,multiplier_4,multiplier_5,group_mean_0,group_mean_1,group_mean_2,group_mean_3,group_mean_4,group_mean_5
1.3266175150300907,0.0,1.2877261233904154,0.054206185104526475,0.9968910270790975,0.13014310643586702,0.8867953505887555,0.9984384325073099,1.080835280520848,0.9913932175892847,1.065820020155755,0.9457288330288187,242.3508555226815,391.91402981136815,780.0859983971402,351.1079882843535,523.744680980778,868.826410161075
1.2160660554442497,0.0,1.2877261233904629,0.054206185104530805,0.9968910270790962,0.1301431064359353,0.8867953505887071,0.9984384325073197,1.0808352805208676,0.991393217589286,1.0658200201557493,0.9457288330288294,242.3508555226683,391.9140298113719,780.0859983971543,351.10798828435395,523.7446809807751,868.8264101610849
1.105514595858409,0.0,1.2877261233904864,0.05420618510453587,0.996891027079094,0.13014310643598714,0.8867953505886724,0.9984384325073294,1.0808352805208878,0.9913932175892901,1.0658200201557468,0.9457288330288315,242.35085552265883,391.9140298113758,780.0859983971689,351.10798828435543,523.7446809807739,868.8264101610869
0.994963136272568,0.0,1.2877261233904742,0.05420618510454276,0.9968910270790956,0.13014310643601967,0.8867953505886509,0.998438432507336,1.0808352805209023,0.9913932175892922,1.065820020155746,0.9457288330288188,242.35085552265295,391.9140298113784,780.0859983971793,351.1079882843561,523.7446809807734,868.8264101610752
0.8844116766867272,0.0,1.287726123389862,0.05420618510459684,0.996891027079154,0.13014310643588733,0.8867953505887609,0.9984384325073384,1.080835280520859,0.9913932175892849,1.0658200201557833,0.9457288330285273,242.35085552268305,391.9140298113793,780.085998397148,351.1079882843536,523.7446809807918,868.8264101608074
0.7738602171008863,2.2297609478805214e-06,1.273991351562937,0.055385950231456316,0.9968910270792822,0.12841661520280934,0.8898474515025461,1.0005264071852535,1.0819836424070395,0.9937179307827275,1.0675154470128114,0.9393633956009471,243.18495920523648,392.7336162210399,780.9148212942603,351.93129971941914,524.5778148885511,862.9785815273106
0.6633087575150454,0.00023185200947528628,1.1476714101459615,0.07461714463003631,0.9968910270813061,0.1728295026820913,0.9179179002496645,1.019729699551566,1.0925452307605925,1.0150985287340184,1.0831084414908614,0.8808198906137621,250.85628637700526,400.2714267178051,788.5375806026635,359.50336961238094,532.2402229537025,809.1955715355733
0.5527572979292045,0.000955688087339368,1.0062136925578735,0.08943033459736151,0.9968910270839754,0.2847986629022411,0.9729360396197152,1.0573681935136925,1.0466494072946544,1.0570045462840962,1.113670743897708,0.8222763856220866,265.89210398333967,415.0455513552999,755.4125615401547,374.34464273990415,547.2585590905794,755.4125615397107
0.4422058383433636,0.0025580677765566495,0.857081543266654,0.1216615060220005,0.9968910270790734,0.4139120928411887,1.0416159090567245,1.1043528222285148,0.9721312454445538,1.1093163810091038,1.1518220693131649,0.763732880641549,284.66151352545637,433.48828610918474,701.6295515540793,392.8711998394405,566.0061462824509,701.6295515540804
0.3316543787575227,0.005128310764418886,0.6633087575150534,0.1785291768329485,0.9968910270790805,0.5741126965502757,1.1897633335209452,1.1305439536765167,0.8976130835874745,1.138477112445341,1.173089160406365,0.7051893756550458,325.148481616289,443.7690120276861,647.846541562967,403.19865172212957,576.4568092737217,647.8465415629695
0.2211029191716818,0.008892967269974461,0.44220583835416444,0.23539684763762242,0.9968910270791466,0.8137916071259043,1.3865628170608726,1.1440047770460469,0.8230949217371174,1.1534641494104412,1.1840192936601868,0.6466458706761411,378.93149160913373,449.052748470086,594.0635315767065,408.5064027797322,581.8278841698976,594.0635315788394
0.110551459585841,0.014113786534451833,0.22110291930559697,0.2922645184059634,0.996891027079103,1.049884273324145,1.583362300560135,1.2111999798745448,0.7485767599228219,1.2282780712918282,1.0994704429777078,0.5881023657446207,432.71450159086527,475.4286789902847,540.2805216164732,435.00221205237415,540.2805215846882,540.2805216382402
0.0,0.021364599534031692,1.7175797148963156e-14,0.35250647220977765,0.9968910270790908,1.3000977797661142,1.7801617841217097,1.2393988883838618,0.6740585980162191,1.373680888665528,0.9900220592926751,0.5295588606955153,486.4975115896259,486.4975115896224,486.49751158961755,486.49751158962283,486.49751158962135,486.4975115896177
