eps,cost_mse,fairness_gap,redistribution,multiplier_0,multiplier_1,multiplier_2,multiplier_3,multiplier_4,multiplier_5,group_mean_0,group_mean_1
0.23725285347848024,0.0,0.2882909843731947,0.058648089507504775,0.8410176671745014,0.9490541234184855,1.065634848466108,0.9740197670823753,1.063295869447332,1.0238824114935596,412.91807839514763,551.2297450351641
0.21352756813063223,8.881784197001252e-16,0.28829098437298445,0.05864808950747626,0.8410176671745297,0.9490541234185119,1.0656348484661227,0.9740197670821313,1.063295869447152,1.0238824114934415,412.918078395157,551.2297450350726
0.1898022827827842,8.881784197001252e-16,0.2882909843720387,0.0586480895073072,0.8410176671753464,0.9490541234191078,1.0656348484664724,0.9740197670815345,1.0632958694467034,1.0238824114931655,412.9180783953886,551.2297450348505
0.16607699743493617,8.881784197001252e-16,0.2882909843720956,0.05864808950727036,0.8410176671759283,0.9490541234195297,1.0656348484667157,0.9740197670820707,1.0632958694470982,1.023882411493382,412.9180783955523,551.2297450350414
0.14235171208708813,3.4788094217530485e-06,0.27550166850303165,0.056450687558756936,0.8519537784238236,0.9567089827715326,1.0698134924899227,0.9648880698098715,1.0567983567148287,1.0203788726579743,415.88353697418586,548.0593489081183
0.11862642673924012,7.33001471228123e-05,0.22958472370667696,0.048561447428050304,0.8912172403546793,0.9841919035115497,1.084815903006554,0.9321029197841529,1.0334706090504098,1.0078002640072472,426.53029863651506,536.6768085594618
0.09490114139139211,0.00023280486542121004,0.18366777896554187,0.046272024701879536,0.9304807022344941,1.0116748242171665,1.0998183135056754,0.8993177697985648,1.0101428614131809,0.9952216553697274,437.17706028554727,525.2942682240008
0.07117585604354407,0.000481992964350364,0.13775083421229625,0.05668097912267513,0.9697441641323703,1.0391577449374092,1.114820724015693,0.8665326198133775,0.9868151137761666,0.9826430467321848,447.8238219404761,513.9117278886262
0.047450570695696054,0.000820864443869751,0.09183388948269493,0.0726283702081544,1.0090076259951748,1.0666406656292398,1.1298231345045338,0.8337474698275336,0.9634873661388453,0.9700644380947779,458.4705835839501,502.5291875531404
0.02372528534784804,0.0012494193003113052,0.0459169451012171,0.09556123084565471,1.0482710875995298,1.0941235861209804,1.1448255448666624,0.8009623200734199,0.9401596186837489,0.9574858295715468,469.11734514964036,491.14664730688804
0.0,0.0017676575447899134,1.9075604667599373e-14,0.11849409184263777,1.0875345497558857,1.1216065070410906,1.15982795550321,0.7681771698570734,0.9168318708645579,0.9449072208194689,479.7641068822929,479.7641068822837
