segment,n_policies,baseline_premium,constrained_premium,change,change_pct,total_moved,is_payer
"('F', 'A')",2039,273.29,486.5,213.21,78.02,434733.44,False
"('M', 'A')",1919,354.16,486.5,132.34,37.37,253963.11,False
"('F', 'B')",1796,392.53,486.5,93.97,23.94,168771.06,False
"('M', 'B')",1674,491.4,486.5,-4.9,-1.0,-8207.9,True
"('F', 'C')",1332,721.74,486.5,-235.25,-32.59,-313347.85,True
"('M', 'C')",1240,918.68,486.5,-432.19,-47.04,-535911.85,True
