eps,cost_mse,fairness_gap,redistribution,loss_ratio,loss_ratio_gap,premium_F_A,premium_F_B,premium_F_C,premium_M_A,premium_M_B,premium_M_C
1.3266175150300907,0.0,1.2877261233904154,0.054206185104526475,0.9968910270790975,0.13014310643586702,242.35,391.91,780.09,351.11,523.74,868.83
1.2160660554442497,0.0,1.2877261233904629,0.054206185104530805,0.9968910270790962,0.1301431064359353,242.35,391.91,780.09,351.11,523.74,868.83
1.105514595858409,0.0,1.2877261233904864,0.05420618510453587,0.996891027079094,0.13014310643598714,242.35,391.91,780.09,351.11,523.74,868.83
0.994963136272568,0.0,1.2877261233904742,0.05420618510454276,0.9968910270790956,0.13014310643601967,242.35,391.91,780.09,351.11,523.74,868.83
0.8844116766867272,0.0,1.287726123389862,0.05420618510459684,0.996891027079154,0.13014310643588733,242.35,391.91,780.09,351.11,523.74,868.83
0.7738602171008863,2.2297609478805214e-06,1.273991351562937,0.055385950231456316,0.9968910270792822,0.12841661520280934,243.18,392.73,780.91,351.93,524.58,862.98
0.6633087575150454,0.00023185200947528628,1.1476714101459615,0.07461714463003631,0.9968910270813061,0.1728295026820913,250.86,400.27,788.54,359.5,532.24,809.2
0.5527572979292045,0.000955688087339368,1.0062136925578735,0.08943033459736151,0.9968910270839754,0.2847986629022411,265.89,415.05,755.41,374.34,547.26,755.41
0.4422058383433636,0.0025580677765566495,0.857081543266654,0.1216615060220005,0.9968910270790734,0.4139120928411887,284.66,433.49,701.63,392.87,566.01,701.63
0.3316543787575227,0.005128310764418886,0.6633087575150534,0.1785291768329485,0.9968910270790805,0.5741126965502757,325.15,443.77,647.85,403.2,576.46,647.85
0.2211029191716818,0.008892967269974461,0.44220583835416444,0.23539684763762242,0.9968910270791466,0.8137916071259043,378.93,449.05,594.06,408.51,581.83,594.06
0.110551459585841,0.014113786534451833,0.22110291930559697,0.2922645184059634,0.996891027079103,1.049884273324145,432.71,475.43,540.28,435.0,540.28,540.28
0.0,0.021364599534031692,1.7175797148963156e-14,0.35250647220977765,0.9968910270790908,1.3000977797661142,486.5,486.5,486.5,486.5,486.5,486.5
