segment,n_policies,baseline_premium,constrained_premium,change,change_pct,total_moved,is_payer
"('F', 'C')",1332,711.58,825.31,113.73,15.98,151489.02,False
"('F', 'B')",1796,385.87,432.8,46.92,12.16,84276.91,False
"('F', 'A')",2039,271.62,295.4,23.78,8.75,48480.12,False
"('M', 'B')",1674,488.65,448.01,-40.64,-8.32,-68032.12,True
"('M', 'C')",1240,901.57,851.9,-49.67,-5.51,-61591.06,True
"('M', 'A')",1919,347.57,267.0,-80.57,-23.18,-154622.88,True
